sharedLLM	MGspeLLM	MDMspeLLM
NA	NA	1810037I17Rik
NA	NA	Sec24d
NA	NA	Camk2d
NA	NA	Casp6
NA	NA	Npnt
NA	NA	Cenpe
NA	NA	Nfkb1
NA	NA	Slc39a8
NA	NA	H2az1
NA	NA	Dapp1
NA	NA	Rap1gds1
NA	NA	Gtf2b
NA	NA	Ssx2ip
NA	NA	Ifi44
NA	NA	Usp33
NA	NA	Nsmaf
NA	NA	Asph
NA	NA	Dpy19l4
NA	NA	Cdh17
NA	NA	Osgin2
NA	NA	Mmp16
NA	NA	Wwp1
NA	NA	Atp6v0d2
NA	NA	Manea
NA	NA	Bach2
NA	NA	Mdn1
NA	NA	Mob3b
NA	NA	C9orf72
NA	NA	Aqp3
NA	NA	Glipr2
NA	NA	Zbtb5
NA	NA	Coro2a
NA	NA	Sec61b
NA	NA	Nr4a3
NA	NA	Smc2
NA	NA	Abca1
NA	NA	Klf4
NA	NA	Epb41l4b
NA	NA	Ptpn3
NA	NA	Ptgr1
NA	NA	Akna
NA	NA	Tlr4
NA	NA	Rps6
NA	NA	Hacd4
NA	NA	Nfia
NA	NA	Ndc1
NA	NA	Dmrtb1
NA	NA	Tut4
NA	NA	Eps15
NA	NA	Stil
NA	NA	Pdzk1ip1
NA	NA	Akr1a1
NA	NA	Kif2c
NA	NA	Cdc20
NA	NA	Inpp5b
NA	NA	Cdca8
NA	NA	Csf3r
NA	NA	Eva1b
NA	NA	Ago3
NA	NA	Epb41
NA	NA	Sesn2
NA	NA	Themis2
NA	NA	Fgr
NA	NA	Hmgn2
NA	NA	Cd52
NA	NA	Stmn1
NA	NA	Paqr7
NA	NA	Man1c1
NA	NA	Runx3
NA	NA	Id3
NA	NA	C1qb
NA	NA	C1qc
NA	NA	C1qa
NA	NA	Ece1
NA	NA	Pqlc2
NA	NA	Akr7a5
NA	NA	Atp13a2
NA	NA	Fblim1
NA	NA	Plod1
NA	NA	Mthfr
NA	NA	Slc2a5
NA	NA	Acot7
NA	NA	Smim1
NA	NA	Prdm16
NA	NA	Tnfrsf18
NA	NA	Cyp51
NA	NA	Abcb1a
NA	NA	Crot
NA	NA	Gm5152
NA	NA	Sema3d
NA	NA	Ptpn12
NA	NA	Fgl2
NA	NA	Insig1
NA	NA	Slc35f6
NA	NA	Fosl2
NA	NA	Ppp1cb
NA	NA	Tacc3
NA	NA	Rgs12
NA	NA	Zfp518b
NA	NA	Cd38
NA	NA	Prom1
NA	NA	Lap3
NA	NA	Ncapg
NA	NA	Dthd1
NA	NA	Tlr1
NA	NA	Smim14
NA	NA	Rhoh
NA	NA	Bend4
NA	NA	Pdgfra
NA	NA	Kit
NA	NA	Stap1
NA	NA	Dck
NA	NA	Pf4
NA	NA	Naaa
NA	NA	Cxcl9
NA	NA	Antxr2
NA	NA	Plac8
NA	NA	Lrrc8c
NA	NA	Lrrc8d
NA	NA	Rpl5
NA	NA	Dipk1a
NA	NA	Cryba4
NA	NA	Crybb1
NA	NA	Tpst2
NA	NA	Myo18b
NA	NA	Grk3
NA	NA	2900026A02Rik
NA	NA	Tmem119
NA	NA	Unc119b
NA	NA	Pxn
NA	NA	Rplp0
NA	NA	Med13l
NA	NA	Pptc7
NA	NA	Rhof
NA	NA	Vps33a
NA	NA	Kntc1
NA	NA	Vps37b
NA	NA	Gtf2h3
NA	NA	Bri3bp
NA	NA	Gusb
NA	NA	Lat2
NA	NA	Mlxipl
NA	NA	Mdh2
NA	NA	Tfr2
NA	NA	Pilrb1
NA	NA	Pilrb2
NA	NA	Mafk
NA	NA	Gna12
NA	NA	Card11
NA	NA	Daglb
NA	NA	Lmtk2
NA	NA	Flt3
NA	NA	Hepacam2
NA	NA	Vps50
NA	NA	Sgce
NA	NA	Pon3
NA	NA	Nxph1
NA	NA	Tes
NA	NA	Cped1
NA	NA	Ptprz1
NA	NA	Tspan33
NA	NA	Plxna4
NA	NA	Slc35b4
NA	NA	Ptn
NA	NA	Zc3hav1l
NA	NA	Zc3hav1
NA	NA	Kdm7a
NA	NA	Zyx
NA	NA	Atp6v0e2
NA	NA	Tmem176b
NA	NA	Tra2a
NA	NA	Npy
NA	NA	Creb5
NA	NA	Fkbp14
NA	NA	Fkbp9
NA	NA	Vopp1
NA	NA	Nap1l5
NA	NA	Hpgds
NA	NA	Tnip3
NA	NA	Mad2l1
NA	NA	Gng12
NA	NA	Thnsl2
NA	NA	Tmsb10
NA	NA	Mthfd2
NA	NA	Nagk
NA	NA	Rab11fip5
NA	NA	Tgfa
NA	NA	Pcyox1
NA	NA	Pcbp1
NA	NA	Mxd1
NA	NA	Arhgap25
NA	NA	Cnbp
NA	NA	Aldh1l1
NA	NA	Nup210
NA	NA	Frmd4b
NA	NA	Itpr1
NA	NA	Bhlhe40
NA	NA	Arl8b
NA	NA	Srgap3
NA	NA	Camk1
NA	NA	Fancd2
NA	NA	Hrh1
NA	NA	Rpl32
NA	NA	Marchf8
NA	NA	Usp18
NA	NA	Apobec1
NA	NA	Gdf3
NA	NA	C3ar1
NA	NA	Clec4n
NA	NA	Lpcat3
NA	NA	Cdca3
NA	NA	Gnb3
NA	NA	Tnfrsf1a
NA	NA	Cd9
NA	NA	Ccnd2
NA	NA	Klrb1c
NA	NA	Cd69
NA	NA	Clec7a
NA	NA	Klrd1
NA	NA	Klrk1
NA	NA	Klri1
NA	NA	Klri2
NA	NA	Klra7
NA	NA	Dusp16
NA	NA	Cdkn1b
NA	NA	Gprc5a
NA	NA	Hebp1
NA	NA	Plbd1
NA	NA	Gucy2c
NA	NA	Eps8
NA	NA	Mgst1
NA	NA	Plekha5
NA	NA	Ldhb
NA	NA	Bhlhe41
NA	NA	Stk38l
NA	NA	Myadm
NA	NA	Rps9
NA	NA	Pirb
NA	NA	Gm15448
NA	NA	Tmem150b
NA	NA	Zik1
NA	NA	Lig1
NA	NA	Kptn
NA	NA	C5ar2
NA	NA	C5ar1
NA	NA	Slc1a5
NA	NA	Eml2
NA	NA	Vasp
NA	NA	Relb
NA	NA	Clptm1
NA	NA	Apoc1
NA	NA	Nectin2
NA	NA	Bcl3
NA	NA	Pvr
NA	NA	Kcnn4
NA	NA	Ethe1
NA	NA	Rps19
NA	NA	Atp1a3
NA	NA	Exosc5
NA	NA	Blvrb
NA	NA	Pld3
NA	NA	Plekhg2
NA	NA	Gmfg
NA	NA	Sirt2
NA	NA	Eif3k
